01/2002,3.1
02/2002,2.86
03/2002,3.37
04/2002,3.8
05/2002,3.78
06/2002,3.61
07/2002,3.49
08/2002,3.42
09/2002,3.71
10/2002,4.19
11/2002,4.35
12/2002,4.72
01/2003,5.33
02/2003,6.47
03/2003,7.05
04/2003,5.38
05/2003,5.7
06/2003,6.08
07/2003,5.45
08/2003,5.23
09/2003,5.12
10/2003,4.98
11/2003,4.85
12/2003,5.69
01/2004,6.37
02/2004,5.76
03/2004,5.5
04/2004,5.74
05/2004,6.3
06/2004,6.52
07/2004,6.24
08/2004,5.97
09/2004,5.39
10/2004,6.05
11/2004,6.71
12/2004,6.88
01/2005,6.72
02/2005,6.42
03/2005,6.84
04/2005,7.27
05/2005,6.83
06/2005,7.08
07/2005,7.57
08/2005,8.67
09/2005,10.99
10/2005,11.84
11/2005,9.87
12/2005,11.26
01/2006,9.15
02/2006,8
03/2006,7.36
04/2006,7.32
05/2006,6.89
06/2006,6.69
07/2006,6.69
08/2006,7.56
09/2006,6.27
10/2006,5.76
11/2006,7.48
12/2006,7.57
01/2007,7.08
02/2007,8.18
03/2007,7.64
04/2007,7.77
05/2007,7.96
06/2007,7.8
07/2007,7.03
08/2007,6.83
09/2007,6.33
10/2007,7
11/2007,7.28
12/2007,7.93
01/2008,8.52
02/2008,8.87
03/2008,9.53
04/2008,10.19
05/2008,10.97
06/2008,12.41
07/2008,11.71
08/2008,8.97
09/2008,7.81
10/2008,6.74
11/2008,6.64
12/2008,6.9
01/2009,6.62
02/2009,5.62
03/2009,4.92
04/2009,4.7
05/2009,4.7
06/2009,4.62
07/2009,4.47
08/2009,4.3
09/2009,4.02
10/2009,5.04
11/2009,5.06
12/2009,6.24
01/2010,6.98
02/2010,6.27
03/2010,5.47
04/2010,4.91
05/2010,4.96
06/2010,5.31
07/2010,5.34
08/2010,5.06
09/2010,4.61
10/2010,4.45
11/2010,4.55
12/2010,5.68
01/2011,5.66
02/2011,5.29
03/2011,4.84
04/2011,5.03
05/2011,5.04
06/2011,5.2
07/2011,5.13
08/2011,4.85
09/2011,4.71
10/2011,4.49
11/2011,4.26
12/2011,4.18
01/2012,3.82
02/2012,3.46
03/2012,3.09
04/2012,2.81
05/2012,3.05
06/2012,3.21
07/2012,3.54
08/2012,3.61
09/2012,3.54
10/2012,4
11/2012,4.43
12/2012,4.35
01/2013,4.56
02/2013,4.59
03/2013,4.5
04/2013,4.84
05/2013,4.79
06/2013,4.56
07/2013,4.34
08/2013,4.03
09/2013,4.22
10/2013,4.26
11/2013,4.36
12/2013,5.11
01/2014,7.46
02/2014,7.8
03/2014,6.29
04/2014,5.25
05/2014,5.09
06/2014,4.99
07/2014,4.58
08/2014,4.25
09/2014,4.34
10/2014,4.23
11/2014,4.68
12/2014,4.5
01/2015,4.31
02/2015,5.02
03/2015,3.71
04/2015,3.24
05/2015,3.28
06/2015,3.25
07/2015,3.23
08/2015,3.23
09/2015,3.2
10/2015,3.04
11/2015,2.78
12/2015,2.72
01/2016,3.18
02/2016,2.83
03/2016,2.33
04/2016,2.52
05/2016,2.49
06/2016,2.77
07/2016,3.07
08/2016,3.07
09/2016,3.18
10/2016,3.23
11/2016,3.14
12/2016,4.15
01/2017,4.31
02/2017,3.72
03/2017,3.51
04/2017,3.5
05/2017,3.61
06/2017,3.4
07/2017,3.32
08/2017,3.24
09/2017,3.27
10/2017,3.24
11/2017,3.5
12/2017,3.81
01/2018,5.38
02/2018,3.75
03/2018,3.32
04/2018,3.26
05/2018,3.16
06/2018,3.23
07/2018,3.35
08/2018,3.39
09/2018,3.23
10/2018,3.52
11/2018,4.34
12/2018,4.89
01/2019,4.16
02/2019,3.78
03/2019,3.6
04/2019,2.99
05/2019,2.85
06/2019,2.66
07/2019,2.63
08/2019,2.5
09/2019,2.68
10/2019,2.58
11/2019,3.08
12/2019,3.04
01/2020,2.74
02/2020,2.5
03/2020,2.23
04/2020,2.2
05/2020,2.25
06/2020,2.08
07/2020,2.1
08/2020,2.47
09/2020,2.49
10/2020,2.57
11/2020,3.08
12/2020,3.3
01/2021,3.33
02/2021,16.29
03/2021,3.4
04/2021,3.14
05/2021,3.35
06/2021,3.57
07/2021,4.12
08/2021,4.45
09/2021,5.09
10/2021,5.75
