01/1989,2.69
02/1989,2.4
03/1989,2.4
04/1989,2.33
05/1989,2.44
06/1989,2.57
07/1989,2.54
08/1989,2.48
09/1989,2.41
10/1989,2.56
11/1989,2.71
12/1989,2.79
01/1990,3.11
02/1990,2.94
03/1990,2.42
04/1990,2.95
05/1990,2.51
06/1990,2.75
07/1990,2.95
08/1990,2.79
09/1990,2.82
10/1990,2.71
11/1990,2.74
12/1990,4.23
01/1991,3.61
02/1991,3.08
03/1991,2.76
04/1991,2.87
05/1991,2.14
06/1991,2.19
07/1991,2.36
08/1991,2.53
09/1991,2.32
10/1991,2.27
11/1991,2.41
12/1991,2.58
01/1992,2.3
02/1992,1.98
03/1992,2.03
04/1992,1.88
05/1992,2.12
06/1992,2.17
07/1992,2.16
08/1992,2.31
09/1992,2.36
10/1992,2.65
11/1992,2.52
12/1992,2.49
01/1993,2.44
02/1993,2.45
03/1993,2.46
04/1993,2.58
05/1993,2.63
06/1993,2.31
07/1993,2.55
08/1993,2.68
09/1993,2.78
10/1993,2.52
11/1993,2.83
12/1993,3.01
01/1994,2.71
02/1994,2.74
03/1994,2.74
04/1994,2.45
05/1994,2.47
06/1994,2.52
07/1994,2.65
08/1994,2.42
09/1994,2.37
10/1994,2.38
11/1994,2.21
12/1994,2.47
01/1995,2.36
02/1995,2.3
03/1995,2.22
04/1995,2.17
05/1995,2.23
06/1995,2.34
07/1995,2.3
08/1995,2.6
09/1995,2.58
10/1995,2.21
11/1995,2.69
12/1995,2.94
01/1996,3.1
02/1996,2.85
03/1996,2.88
04/1996,2.88
05/1996,2.73
06/1996,2.87
07/1996,3.04
08/1996,2.65
09/1996,2.85
10/1996,2.83
11/1996,3.25
12/1996,3.7
01/1997,4.16
02/1997,3.46
03/1997,2.74
04/1997,2.72
05/1997,2.72
06/1997,2.81
07/1997,2.71
08/1997,2.86
09/1997,2.83
10/1997,3.19
11/1997,3.35
12/1997,2.86
01/1998,2.93
02/1998,2.53
03/1998,2.55
04/1998,2.57
05/1998,2.26
06/1998,2.29
07/1998,2.42
08/1998,2.35
09/1998,2.4
10/1998,2.28
11/1998,2.28
12/1998,2.34
01/1999,2.36
02/1999,2.3
03/1999,2.11
04/1999,2.26
05/1999,2.48
06/1999,2.44
07/1999,2.54
08/1999,2.84
09/1999,3.03
