01/1976,0.54
02/1976,0.54
03/1976,0.54
04/1976,0.55
05/1976,0.55
06/1976,0.58
07/1976,0.58
08/1976,0.6
09/1976,0.6
10/1976,0.62
11/1976,0.63
12/1976,0.64
01/1977,0.67
02/1977,0.71
03/1977,0.75
04/1977,0.77
05/1977,0.77
06/1977,0.82
07/1977,0.83
08/1977,0.82
09/1977,0.83
10/1977,0.84
11/1977,0.83
12/1977,0.84
01/1978,0.87
02/1978,0.88
03/1978,0.89
04/1978,0.88
05/1978,0.91
06/1978,0.91
07/1978,0.89
08/1978,0.91
09/1978,0.92
10/1978,0.92
11/1978,0.93
12/1978,0.96
01/1979,1.02
02/1979,1.05
03/1979,1.1
04/1979,1.11
05/1979,1.15
06/1979,1.17
07/1979,1.2
08/1979,1.24
09/1979,1.24
10/1979,1.28
11/1979,1.29
12/1979,1.31
01/1980,1.37
02/1980,1.42
03/1980,1.46
04/1980,1.51
05/1980,1.56
06/1980,1.57
07/1980,1.64
08/1980,1.64
09/1980,1.69
10/1980,1.71
11/1980,1.76
12/1980,1.74
01/1981,1.77
02/1981,1.81
03/1981,1.86
04/1981,1.93
05/1981,1.95
06/1981,1.95
07/1981,2.01
08/1981,2.02
09/1981,2.08
10/1981,2.11
11/1981,2.15
12/1981,2.16
01/1982,2.23
02/1982,2.3
03/1982,2.35
04/1982,2.4
05/1982,2.45
06/1982,2.45
07/1982,2.47
08/1982,2.53
09/1982,2.56
10/1982,2.6
11/1982,2.62
12/1982,2.62
01/1983,2.66
02/1983,2.66
03/1983,2.58
04/1983,2.53
05/1983,2.53
06/1983,2.59
07/1983,2.52
08/1983,2.58
09/1983,2.67
10/1983,2.58
11/1983,2.6
12/1983,2.61
01/1984,2.67
02/1984,2.71
03/1984,2.67
04/1984,2.64
05/1984,2.67
06/1984,2.7
07/1984,2.68
08/1984,2.69
09/1984,2.62
10/1984,2.63
11/1984,2.61
12/1984,2.57
01/1985,2.64
02/1985,2.71
03/1985,2.62
04/1985,2.64
05/1985,2.53
06/1985,2.58
07/1985,2.51
08/1985,2.47
09/1985,2.42
10/1985,2.37
11/1985,2.36
12/1985,2.28
01/1986,2.28
02/1986,2.26
03/1986,2.16
04/1986,2.1
05/1986,1.96
06/1986,1.85
07/1986,1.8
08/1986,1.77
09/1986,1.78
10/1986,1.73
11/1986,1.77
12/1986,1.76
01/1987,1.74
02/1987,1.73
03/1987,1.73
04/1987,1.69
05/1987,1.65
06/1987,1.65
07/1987,1.66
08/1987,1.63
09/1987,1.56
10/1987,1.57
11/1987,1.64
12/1987,1.7
01/1988,1.96
02/1988,1.84
03/1988,1.7
04/1988,1.59
05/1988,1.52
06/1988,1.53
07/1988,1.56
08/1988,1.62
09/1988,1.53
10/1988,1.68
11/1988,1.76
12/1988,1.89
01/1989,1.99
02/1989,1.81
03/1989,1.69
04/1989,1.56
05/1989,1.61
06/1989,1.65
07/1989,1.65
08/1989,1.61
09/1989,1.55
10/1989,1.58
11/1989,1.66
12/1989,1.92
01/1990,2.23
02/1990,1.85
03/1990,1.55
04/1990,1.49
05/1990,1.47
06/1990,1.48
07/1990,1.49
08/1990,1.51
09/1990,1.56
10/1990,1.76
11/1990,1.94
12/1990,2.04
01/1991,1.96
02/1991,1.62
03/1991,1.49
04/1991,1.5
05/1991,1.48
06/1991,1.43
07/1991,1.34
08/1991,1.43
09/1991,1.59
10/1991,1.82
11/1991,1.89
12/1991,2
01/1992,1.74
02/1992,1.26
03/1992,1.35
04/1992,1.42
05/1992,1.51
06/1992,1.62
07/1992,1.55
08/1992,1.84
09/1992,1.92
10/1992,2.38
11/1992,2.13
12/1992,2.07
01/1993,2.03
02/1993,1.76
03/1993,2
04/1993,2.06
05/1993,2.18
06/1993,1.98
07/1993,1.99
08/1993,2.04
09/1993,2.09
10/1993,2.02
11/1993,2.03
12/1993,2.15
01/1994,1.93
02/1994,1.88
03/1994,1.93
04/1994,1.91
05/1994,2
06/1994,1.8
07/1994,1.81
08/1994,1.83
09/1994,1.78
10/1994,1.7
11/1994,1.75
12/1994,1.88
01/1995,1.62
02/1995,1.48
